Count CapacitymAh WarnmAh RmAh
0 3888 388 3494
1 3888 388 3478
2 3888 388 3465
3 3888 388 3453
4 3888 388 3439
5 3888 388 3426
6 3888 388 3412
7 3888 388 3396
8 3888 388 3381
9 3888 388 3363
10 3888 388 3345
11 3888 388 3331
12 3888 388 3317
13 3888 388 3301
14 3888 388 3289
15 3888 388 3275
16 3888 388 3259
17 3888 388 3242
18 3888 388 3227
19 3888 388 3210
20 3888 388 3194
21 3888 388 3182
22 3888 388 3166
23 3888 388 3152
24 3888 388 3138
25 3888 388 3124
26 3888 388 3110
27 3888 388 3098
28 3888 388 3083
29 3888 388 3070
30 3888 388 3057
31 3888 388 3042
32 3888 388 3029
33 3888 388 3017
34 3888 388 3005
35 3888 388 2993
36 3888 388 2981
37 3888 388 2970
38 3888 388 2955
39 3888 388 2941
40 3888 388 2927
41 3888 388 2912
42 3888 388 2898
43 3888 388 2884
44 3888 388 2871
45 3888 388 2858
46 3888 388 2845
47 3888 388 2829
48 3888 388 2812
49 3888 388 2795
50 3888 388 2780
51 3888 388 2767
52 3888 388 2752
53 3888 388 2739
54 3888 388 2727
55 3888 388 2712
56 3888 388 2699
57 3888 388 2687
58 3888 388 2674
59 3888 388 2661
60 3888 388 2649
61 3888 388 2637
62 3888 388 2624
63 3888 388 2612
64 3888 388 2599
65 3888 388 2585
66 3888 388 2571
67 3888 388 2557
68 3888 388 2544
69 3888 388 2530
70 3888 388 2515
71 3888 388 2499
72 3888 388 2485
73 3888 388 2473
74 3888 388 2459
75 3888 388 2446
76 3888 388 2433
77 3888 388 2420
78 3888 388 2405
79 3888 388 2393
80 3888 388 2378
81 3888 388 2363
82 3888 388 2350
83 3888 388 2337
84 3888 388 2325
85 3888 388 2314
86 3888 388 2300
87 3888 388 2287
88 3888 388 2275
89 3888 388 2263
90 3888 388 2251
91 3888 388 2238
92 3888 388 2227
93 3888 388 2216
94 3888 388 2203
95 3888 388 2192
96 3888 388 2180
97 3888 388 2168
98 3888 388 2156
99 3888 388 2143
100 3888 388 2129
101 3888 388 2116
102 3888 388 2102
103 3888 388 2089
104 3888 388 2075
105 3888 388 2062
106 3888 388 2049
107 3888 388 2033
108 3888 388 2020
109 3888 388 2009
110 3888 388 1995
111 3888 388 1983
112 3888 388 1970
113 3888 388 1957
114 3888 388 1942
115 3888 388 1929
116 3888 388 1916
117 3888 388 1901
118 3888 388 1888
119 3888 388 1876
120 3888 388 1862
121 3888 388 1845
122 3888 388 1828
123 3888 388 1813
124 3888 388 1798
125 3888 388 1783
126 3888 388 1770
127 3888 388 1755
128 3888 388 1742
129 3888 388 1727
130 3888 388 1713
131 3888 388 1699
132 3888 388 1682
133 3888 388 1666
134 3888 388 1646
135 3888 388 1628
136 3888 388 1612
137 3888 388 1592
138 3888 388 1575
139 3888 388 1560
140 3888 388 1545
141 3888 388 1528
142 3888 388 1513
143 3888 388 1497
144 3888 388 1481
145 3888 388 1465
146 3888 388 1449
147 3888 388 1427
148 3888 388 1409
149 3888 388 1395
150 3888 388 1378
151 3888 388 1360
152 3888 388 1344
153 3888 388 1329
154 3888 388 1313
155 3888 388 1297
156 3888 388 1281
157 3888 388 1265
158 3888 388 1250
159 3888 388 1234
160 3888 388 1219
161 3888 388 1204
162 3888 388 1188
163 3888 388 1175
164 3888 388 1160
165 3888 388 1146
166 3888 388 1133
167 3888 388 1118
168 3888 388 1105
169 3888 388 1091
170 3888 388 1077
171 3888 388 1063
172 3888 388 1050
173 3888 388 1035
174 3888 388 1022
175 3888 388 1006
176 3888 388 991
177 3888 388 977
178 3888 388 963
179 3888 388 950
180 3888 388 936
181 3888 388 922
182 3888 388 908
183 3888 388 895
184 3888 388 880
185 3888 388 866
186 3888 388 852
187 3888 388 838
188 3888 388 825
189 3888 388 810
190 3888 388 797
191 3888 388 783
192 3888 388 769
193 3888 388 755
194 3888 388 741
195 3888 388 727
196 3888 388 714
197 3888 388 699
198 3888 388 686
199 3888 388 672
200 3888 388 658
201 3888 388 644
202 3888 388 631
203 3888 388 614
204 3888 388 599
205 3888 388 585
206 3888 388 571
207 3888 388 558
208 3888 388 543
209 3888 388 529
210 3888 388 516
211 3888 388 501
212 3888 388 488
213 3888 388 474
214 3888 388 460
215 3888 388 446
216 3888 388 433
217 3888 388 418
218 3888 388 405
219 3888 388 391
220 3888 388 377
221 3888 388 363
222 3888 388 350
223 3888 388 335
224 3888 388 321
225 3888 388 307
226 3888 388 293
227 3888 388 280
228 3888 388 265
229 3888 388 254
230 3888 388 254
231 3888 388 254
232 3888 388 254
233 3888 388 254
234 3888 388 254
235 3888 388 254
236 3888 388 254
237 3888 388 254
238 3888 388 254
239 3888 388 254
240 3888 388 254
241 3888 388 254
242 3888 388 254
243 3888 388 254
244 3888 388 254
245 3888 388 254
246 3888 388 254
247 3888 388 254
248 3888 388 254
249 3888 388 247
250 3888 388 234
251 3888 388 221
252 3888 388 208
253 3888 388 196
254 3888 388 182
255 3888 388 170
